number,operon,start,end,gene,strand,direction
1,GCF_000009345.1_ASM934v1_genomic_operon_1,1615,3150,X-unknown,forward,1
2,GCF_000009345.1_ASM934v1_genomic_operon_1,3236,3955,X-unknown,reverse,-1
3,GCF_000009345.1_ASM934v1_genomic_operon_1,4266,5840,X-unknown,forward,1
4,GCF_000009345.1_ASM934v1_genomic_operon_1,6070,6600,X-unknown,forward,1
5,GCF_000009345.1_ASM934v1_genomic_operon_1,6737,7525,X-unknown,reverse,-1
6,GCF_000009345.1_ASM934v1_genomic_operon_1,8079,8435,X-unknown,reverse,-1
7,GCF_000009345.1_ASM934v1_genomic_operon_1,8936,9394,X-unknown,forward,1
8,GCF_000009345.1_ASM934v1_genomic_operon_1,9388,9714,X-unknown,forward,1
9,GCF_000009345.1_ASM934v1_genomic_operon_1,9999,10640,ssp6,forward,1
10,GCF_000009345.1_ASM934v1_genomic_operon_1,10621,10839,X-unknown,forward,1
11,GCF_000009345.1_ASM934v1_genomic_operon_1,10921,11379,X-unknown,reverse,-1
12,GCF_000009345.1_ASM934v1_genomic_operon_1,11388,13199,X-unknown,reverse,-1
13,GCF_000009345.1_ASM934v1_genomic_operon_1,13225,13929,X-unknown,reverse,-1
14,GCF_000009345.1_ASM934v1_genomic_operon_1,13929,14195,X-unknown,reverse,-1
15,GCF_000009345.1_ASM934v1_genomic_operon_1,14198,17380,X-unknown,reverse,-1
16,GCF_000009345.1_ASM934v1_genomic_operon_1,17555,17854,X-unknown,forward,1
17,GCF_000009345.1_ASM934v1_genomic_operon_1,17884,18102,X-unknown,reverse,-1
18,GCF_000009345.1_ASM934v1_genomic_operon_1,18144,18746,X-unknown,reverse,-1
19,GCF_000009345.1_ASM934v1_genomic_operon_1,18808,19230,X-unknown,reverse,-1
20,GCF_000009345.1_ASM934v1_genomic_operon_1,19227,19607,X-unknown,reverse,-1
21,GCF_000009345.1_ASM934v1_genomic_operon_1,19718,20446,X-unknown,reverse,-1
22,GCF_000009345.1_ASM934v1_genomic_operon_2,461,1570,X-unknown,reverse,-1
23,GCF_000009345.1_ASM934v1_genomic_operon_2,1834,3234,X-unknown,forward,1
24,GCF_000009345.1_ASM934v1_genomic_operon_2,3245,3643,X-unknown,forward,1
25,GCF_000009345.1_ASM934v1_genomic_operon_2,3655,4017,X-unknown,forward,1
26,GCF_000009345.1_ASM934v1_genomic_operon_2,4292,5161,X-unknown,forward,1
27,GCF_000009345.1_ASM934v1_genomic_operon_2,5488,8445,X-unknown,forward,1
28,GCF_000009345.1_ASM934v1_genomic_operon_2,8532,9134,X-unknown,forward,1
29,GCF_000009345.1_ASM934v1_genomic_operon_2,10001,10660,ssp6,forward,1
30,GCF_000009345.1_ASM934v1_genomic_operon_2,10657,10893,X-unknown,reverse,-1
31,GCF_000009345.1_ASM934v1_genomic_operon_2,12053,12364,X-unknown,reverse,-1
32,GCF_000009345.1_ASM934v1_genomic_operon_2,12693,14393,X-unknown,forward,1
33,GCF_000009345.1_ASM934v1_genomic_operon_2,14390,15382,X-unknown,forward,1
34,GCF_000009345.1_ASM934v1_genomic_operon_2,15375,16097,X-unknown,forward,1
35,GCF_000009345.1_ASM934v1_genomic_operon_2,16097,17461,X-unknown,forward,1
36,GCF_000009345.1_ASM934v1_genomic_operon_2,17551,17997,X-unknown,forward,1
37,GCF_000009345.1_ASM934v1_genomic_operon_2,17994,19352,X-unknown,forward,1
38,GCF_000009345.1_ASM934v1_genomic_operon_2,19543,20013,X-unknown,forward,1
39,GCF_000019565.1_ASM1956v1_genomic_operon_1,1266,1937,X-unknown,forward,1
40,GCF_000019565.1_ASM1956v1_genomic_operon_1,1948,3006,X-unknown,reverse,-1
41,GCF_000019565.1_ASM1956v1_genomic_operon_1,3096,3941,X-unknown,forward,1
42,GCF_000019565.1_ASM1956v1_genomic_operon_1,3938,5095,X-unknown,reverse,-1
43,GCF_000019565.1_ASM1956v1_genomic_operon_1,5304,5729,X-unknown,forward,1
44,GCF_000019565.1_ASM1956v1_genomic_operon_1,5768,6214,X-unknown,reverse,-1
45,GCF_000019565.1_ASM1956v1_genomic_operon_1,6444,7631,X-unknown,forward,1
46,GCF_000019565.1_ASM1956v1_genomic_operon_1,7848,8138,X-unknown,forward,1
47,GCF_000019565.1_ASM1956v1_genomic_operon_1,8341,9102,X-unknown,forward,1
48,GCF_000019565.1_ASM1956v1_genomic_operon_1,9259,9579,X-unknown,forward,1
49,GCF_000019565.1_ASM1956v1_genomic_operon_1,9570,9950,X-unknown,forward,1
50,GCF_000019565.1_ASM1956v1_genomic_operon_1,9999,10481,TssD,reverse,-1
51,GCF_000019565.1_ASM1956v1_genomic_operon_1,10500,10694,X-unknown,reverse,-1
