number,operon,start,end,gene,strand,direction
1,GCF_000009345.1_ASM934v1_genomic_operon_1,18831,17296,X-unknown,forward,1
2,GCF_000009345.1_ASM934v1_genomic_operon_1,17210,16491,X-unknown,reverse,-1
3,GCF_000009345.1_ASM934v1_genomic_operon_1,16180,14606,X-unknown,forward,1
4,GCF_000009345.1_ASM934v1_genomic_operon_1,14376,13846,X-unknown,forward,1
5,GCF_000009345.1_ASM934v1_genomic_operon_1,13709,12921,X-unknown,reverse,-1
6,GCF_000009345.1_ASM934v1_genomic_operon_1,12367,12011,X-unknown,reverse,-1
7,GCF_000009345.1_ASM934v1_genomic_operon_1,11510,11052,X-unknown,forward,1
8,GCF_000009345.1_ASM934v1_genomic_operon_1,11058,10732,X-unknown,forward,1
9,GCF_000009345.1_ASM934v1_genomic_operon_1,10447,9806,ssp6,forward,1
10,GCF_000009345.1_ASM934v1_genomic_operon_1,9825,9607,X-unknown,forward,1
11,GCF_000009345.1_ASM934v1_genomic_operon_1,9525,9067,X-unknown,reverse,-1
12,GCF_000009345.1_ASM934v1_genomic_operon_1,9058,7247,X-unknown,reverse,-1
13,GCF_000009345.1_ASM934v1_genomic_operon_1,7221,6517,X-unknown,reverse,-1
14,GCF_000009345.1_ASM934v1_genomic_operon_1,6517,6251,X-unknown,reverse,-1
15,GCF_000009345.1_ASM934v1_genomic_operon_1,6248,3066,X-unknown,reverse,-1
16,GCF_000009345.1_ASM934v1_genomic_operon_1,2891,2592,X-unknown,forward,1
17,GCF_000009345.1_ASM934v1_genomic_operon_1,2562,2344,X-unknown,reverse,-1
18,GCF_000009345.1_ASM934v1_genomic_operon_1,2302,1700,X-unknown,reverse,-1
19,GCF_000009345.1_ASM934v1_genomic_operon_1,1638,1216,X-unknown,reverse,-1
20,GCF_000009345.1_ASM934v1_genomic_operon_1,1219,839,X-unknown,reverse,-1
21,GCF_000009345.1_ASM934v1_genomic_operon_1,728,0,X-unknown,reverse,-1
22,GCF_000009345.1_ASM934v1_genomic_operon_2,461,1570,X-unknown,reverse,-1
23,GCF_000009345.1_ASM934v1_genomic_operon_2,1834,3234,X-unknown,forward,1
24,GCF_000009345.1_ASM934v1_genomic_operon_2,3245,3643,X-unknown,forward,1
25,GCF_000009345.1_ASM934v1_genomic_operon_2,3655,4017,X-unknown,forward,1
26,GCF_000009345.1_ASM934v1_genomic_operon_2,4292,5161,X-unknown,forward,1
27,GCF_000009345.1_ASM934v1_genomic_operon_2,5488,8445,X-unknown,forward,1
28,GCF_000009345.1_ASM934v1_genomic_operon_2,8532,9134,X-unknown,forward,1
29,GCF_000009345.1_ASM934v1_genomic_operon_2,10001,10660,ssp6,forward,1
30,GCF_000009345.1_ASM934v1_genomic_operon_2,10657,10893,X-unknown,reverse,-1
31,GCF_000009345.1_ASM934v1_genomic_operon_2,12053,12364,X-unknown,reverse,-1
32,GCF_000009345.1_ASM934v1_genomic_operon_2,12693,14393,X-unknown,forward,1
33,GCF_000009345.1_ASM934v1_genomic_operon_2,14390,15382,X-unknown,forward,1
34,GCF_000009345.1_ASM934v1_genomic_operon_2,15375,16097,X-unknown,forward,1
35,GCF_000009345.1_ASM934v1_genomic_operon_2,16097,17461,X-unknown,forward,1
36,GCF_000009345.1_ASM934v1_genomic_operon_2,17551,17997,X-unknown,forward,1
37,GCF_000009345.1_ASM934v1_genomic_operon_2,17994,19352,X-unknown,forward,1
38,GCF_000009345.1_ASM934v1_genomic_operon_2,19543,20013,X-unknown,forward,1
39,GCF_000019565.1_ASM1956v1_genomic_operon_1,19305,18634,X-unknown,forward,1
40,GCF_000019565.1_ASM1956v1_genomic_operon_1,18623,17565,X-unknown,reverse,-1
41,GCF_000019565.1_ASM1956v1_genomic_operon_1,17475,16630,X-unknown,forward,1
42,GCF_000019565.1_ASM1956v1_genomic_operon_1,16633,15476,X-unknown,reverse,-1
43,GCF_000019565.1_ASM1956v1_genomic_operon_1,15267,14842,X-unknown,forward,1
44,GCF_000019565.1_ASM1956v1_genomic_operon_1,14803,14357,X-unknown,reverse,-1
45,GCF_000019565.1_ASM1956v1_genomic_operon_1,14127,12940,X-unknown,forward,1
46,GCF_000019565.1_ASM1956v1_genomic_operon_1,12723,12433,X-unknown,forward,1
47,GCF_000019565.1_ASM1956v1_genomic_operon_1,12230,11469,X-unknown,forward,1
48,GCF_000019565.1_ASM1956v1_genomic_operon_1,11312,10992,X-unknown,forward,1
49,GCF_000019565.1_ASM1956v1_genomic_operon_1,11001,10621,X-unknown,forward,1
50,GCF_000019565.1_ASM1956v1_genomic_operon_1,10572,10090,TssD,reverse,-1
51,GCF_000019565.1_ASM1956v1_genomic_operon_1,10071,9877,X-unknown,reverse,-1
52,GCF_000019565.1_ASM1956v1_genomic_operon_1,9872,9156,ssp6,reverse,-1
53,GCF_000019565.1_ASM1956v1_genomic_operon_1,8758,8660,X-unknown,reverse,-1
54,GCF_000019565.1_ASM1956v1_genomic_operon_1,8595,8149,X-unknown,reverse,-1
55,GCF_000019565.1_ASM1956v1_genomic_operon_1,7894,6443,X-unknown,reverse,-1
56,GCF_000019565.1_ASM1956v1_genomic_operon_1,6329,5799,X-unknown,reverse,-1
57,GCF_000019565.1_ASM1956v1_genomic_operon_1,5721,4297,X-unknown,reverse,-1
58,GCF_000019565.1_ASM1956v1_genomic_operon_1,4182,3814,X-unknown,reverse,-1
59,GCF_000019565.1_ASM1956v1_genomic_operon_1,3814,2888,X-unknown,reverse,-1
60,GCF_000019565.1_ASM1956v1_genomic_operon_1,2806,1421,X-unknown,reverse,-1
61,GCF_000019565.1_ASM1956v1_genomic_operon_1,1314,436,X-unknown,forward,1
62,GCF_000019565.1_ASM1956v1_genomic_operon_1,482,0,X-unknown,reverse,-1
63,GCF_000019565.1_ASM1956v1_genomic_operon_2,14944,13265,X-unknown,forward,1
64,GCF_000019565.1_ASM1956v1_genomic_operon_2,13182,12544,X-unknown,reverse,-1
65,GCF_000019565.1_ASM1956v1_genomic_operon_2,12364,11495,X-unknown,forward,1
66,GCF_000019565.1_ASM1956v1_genomic_operon_2,10303,9788,ssp6,forward,1
67,GCF_000019565.1_ASM1956v1_genomic_operon_2,9628,9281,X-unknown,forward,1
68,GCF_000019565.1_ASM1956v1_genomic_operon_2,9278,8799,TssD,forward,1
69,GCF_000019565.1_ASM1956v1_genomic_operon_2,8607,8302,X-unknown,reverse,-1
70,GCF_000019565.1_ASM1956v1_genomic_operon_2,8265,7516,X-unknown,reverse,-1
71,GCF_000019565.1_ASM1956v1_genomic_operon_2,7420,7154,X-unknown,reverse,-1
72,GCF_000019565.1_ASM1956v1_genomic_operon_2,7043,6930,X-unknown,forward,1
73,GCF_000019565.1_ASM1956v1_genomic_operon_2,6747,6625,X-unknown,reverse,-1
74,GCF_000019565.1_ASM1956v1_genomic_operon_2,6500,5373,PAAR_motif,forward,1
75,GCF_000019565.1_ASM1956v1_genomic_operon_2,5383,5120,X-unknown,forward,1
76,GCF_000019565.1_ASM1956v1_genomic_operon_2,4974,4723,X-unknown,forward,1
77,GCF_000019565.1_ASM1956v1_genomic_operon_2,3419,2901,X-unknown,reverse,-1
78,GCF_000019565.1_ASM1956v1_genomic_operon_2,2450,2094,X-unknown,reverse,-1
79,GCF_000019565.1_ASM1956v1_genomic_operon_2,2068,1847,X-unknown,reverse,-1
80,GCF_000019565.1_ASM1956v1_genomic_operon_2,1850,1308,X-unknown,reverse,-1
81,GCF_000019565.1_ASM1956v1_genomic_operon_2,1295,852,X-unknown,reverse,-1
82,GCF_000019565.1_ASM1956v1_genomic_operon_2,821,0,X-unknown,reverse,-1
83,GCF_000025465.1_ASM2546v1_genomic_operon_1,19304,18633,X-unknown,forward,1
84,GCF_000025465.1_ASM2546v1_genomic_operon_1,18622,17564,X-unknown,reverse,-1
85,GCF_000025465.1_ASM2546v1_genomic_operon_1,17474,16629,X-unknown,forward,1
86,GCF_000025465.1_ASM2546v1_genomic_operon_1,16632,15781,X-unknown,reverse,-1
87,GCF_000025465.1_ASM2546v1_genomic_operon_1,15268,14885,X-unknown,forward,1
88,GCF_000025465.1_ASM2546v1_genomic_operon_1,14804,14358,X-unknown,reverse,-1
89,GCF_000025465.1_ASM2546v1_genomic_operon_1,14128,12941,X-unknown,forward,1
90,GCF_000025465.1_ASM2546v1_genomic_operon_1,12724,12434,X-unknown,forward,1
91,GCF_000025465.1_ASM2546v1_genomic_operon_1,12231,11470,X-unknown,forward,1
92,GCF_000025465.1_ASM2546v1_genomic_operon_1,11313,10993,X-unknown,forward,1
93,GCF_000025465.1_ASM2546v1_genomic_operon_1,11002,10622,X-unknown,forward,1
94,GCF_000025465.1_ASM2546v1_genomic_operon_1,10573,10091,TssD,reverse,-1
