File,Strain name,Assembly,Locus,BioSample,BioProject,Source,Host,Strain,Location,Collection Date,Submission Date,Species,Short species,Assembly Method,Genome Representation, Genome Coverage,Sequencing Technology,Assembly Length,Number of contigs,Largest contig,Published,Journal,Authors,Title
GCF_002896875.1_ASM289687v1_genomic.gbff,ASM289687v1,GCF_002896875.1,NZ_CP023278,SAMN07604078,PRJNA224116,Brazilian saline-alkaline lake,None,CENA543,Brazil,03-Sep-10,07-Sep-17,Nostoc sp. CENA543,Nostoc sp.,Method :: HGAP3 v. HGAP3 (SMRT Analysis 2.3).,Representation :: Full,Coverage :: 170.0x,Technology :: Illumina HiSeq; PacBio,7207640,6,6990729,Yes,ACS Chem. Biol. 12 (11); 2746-2755 (2017),Shishido;T.K.; Jokela;J.; Fewer;D.P.; Wahlsten;M.; Fiore;M.F. and Sivonen;K.,Simultaneous Production of Anabaenopeptins and Namalides by the Cyanobacterium Nostoc sp. CENA543
GCF_001683235.1_ASM168323v1_genomic.gbff,ASM168323v1,GCF_001683235.1,NZ_CP012725,SAMN04075683,PRJNA224116,None,None,PR08,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: CLC Genomics Workbench v. 2012-03-12,Representation :: Full,Coverage :: 675.0x,Technology :: Illumina HiSeq,5227091,1,5227091,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_001683255.1_ASM168325v1_genomic.gbff,ASM168325v1,GCF_001683255.1,NZ_CP012726,SAMN04075684,PRJNA224116,None,None,PR09-1,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: CLC Genomics Workbench v. 2012-03-12,Representation :: Full,Coverage :: 545.0x,Technology :: Illumina HiSeq,5227060,1,5227060,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_001683195.1_ASM168319v1_genomic.gbff,ASM168319v1,GCF_001683195.1,NZ_CP012723,SAMN04075681,PRJNA224116,None,None,PR06,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: CLC Genomics Workbench v. 2012-02-01,Representation :: Full,Coverage :: 750.0x,Technology :: Illumina HiSeq,5228656,1,5228656,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_001683065.1_ASM168306v1_genomic.gbff,ASM168306v1,GCF_001683065.1,NZ_CP012729,SAMN04093744,PRJNA224116,None,None,Parent2,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: CLC Genomics Workbench v. 2012-03-12,Representation :: Full,Coverage :: 600.0x,Technology :: Illumina HiSeq,5227092,1,5227092,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_001683095.1_ASM168309v1_genomic.gbff,ASM168309v1,GCF_001683095.1,NZ_CP012730,SAMN04093743,PRJNA224116,None,None,Parent1,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: IDBA UD v. 1.0.9,Representation :: Full,Coverage :: 600.0x,Technology :: Illumina HiSeq,5228660,1,5228660,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_001683155.1_ASM168315v1_genomic.gbff,ASM168315v1,GCF_001683155.1,NZ_CP012721,SAMN04075677,PRJNA224116,None,None,PR02,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: CLC Genomics Workbench v. 2012-02-01,Representation :: Full,Coverage :: 690.0x,Technology :: Illumina HiSeq,5228657,1,5228657,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_001683275.1_ASM168327v1_genomic.gbff,ASM168327v1,GCF_001683275.1,NZ_CP012727,SAMN04075685,PRJNA224116,None,None,PR09-4,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: CLC Genomics Workbench v. 2012-03-12,Representation :: Full,Coverage :: 571.0x,Technology :: Illumina HiSeq,5227090,1,5227090,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_001683295.1_ASM168329v1_genomic.gbff,ASM168329v1,GCF_001683295.1,NZ_CP012728,SAMN04075686,PRJNA224116,None,None,PR10-4,USA,None,17-Sep-15,Bacillus anthracis,Bacillus anthracis,Method :: CLC Genomics Workbench v. 2012-03-12,Representation :: Full,Coverage :: 562.0x,Technology :: Illumina HiSeq,5227079,1,5227079,Yes,ACS Infect Dis 2 (3); 207-220 (2016),Molohon;K.J.; Blair;P.M.; Park;S.; Doroghazi;J.R.; Maxson;T.; Hershfield;J.R.; Flatt;K.M.; Schroeder;N.E.; Ha;T. and Mitchell;D.A.,Plantazolicin is an ultra-narrow spectrum antibiotic that targets the Bacillus anthracis membrane
GCF_002277975.1_ASM227797v1_genomic.gbff,ASM227797v1,GCF_002277975.1,NZ_CP017995,SAMN05908976,PRJNA224116,Engineered derivative of C. glutamicum ATCC 13032; carrying a number of defined deletions,None,C1,Germany,2015,07-Oct-16,Corynebacterium glutamicum,Corynebacterium glutamicum,Method :: Newbler v. 2.8,None,Coverage :: 42.3,Technology :: Sanger dideoxy sequencing; Illumina,2843369,1,2843369,Yes,ACS Synth Biol (2017) In press,Baumgart;M.; Unthan;S.; Kloss;R.; Radek;A.; Polen;T.; Tenhaef;N.; Muller;M.F.; Kuberl;A.; Siebert;D.; Bruhl;N.; Marin;K.; Hans;S.; Kramer;R.; Bott;M.; Kalinowski;J.; Wiechert;W.; Seibold;G.; Frunzke;J.; Ruckert;C.; Wendisch;V. and Noack;S.,Corynebacterium glutamicum Chassis C1*: Building and Testing a Novel Platform Host for Synthetic Biology and Industrial Biotechnology
